address,beds,baths,sqft,lotAreaValue,log_price,Bathroom Information_# of Full Baths,Bathroom Information_# of Bathroom Fixtures,Heating & Cooling_Heating Type,Fireplace Information_# of Fireplaces,Fireplace Information_Fireplace Type,Exterior Information_Physical Condition,Exterior Information_Foundation Type,Exterior Information_Construction Type,Exterior Information_Exterior Wall,Exterior Information_Building Type,Property Information_Subdivision Name,Property Information_Living Sq. Ft,Property Information_Building Sq. Ft,Property Information_# of Stories,Property Information_Stories Type,Property Information_Legal Description,Parking & Garage Information_Parking Type,Parking & Garage Information_Garage/Parking Sq. Ft,Parking & Garage Information_Garage / Carport Type,Lot Information_# of Buildings,Lot Information_Land Sq. Ft,Lot Information_Legal Lot Number,Lot Information_School Tax District,Lot Information_Municipality Name,Lot Information_Acres,Lot Information_State Use Description,Assessor Information_Assessment Year,Assessor Information_Tax District County,Basement Information_Basement Type,Heating & Cooling_Heating Fuel Type,Room Information_# of Rooms,Exterior Information_Building Style Type,Property Information_Ground Floor Sq. Ft,Lot Information_Legal Block Number,Lot Information_Depth Footage,Lot Information_Front Footage,Lot Information_County Use Description,Utility Information_Electricity / Wiring Type,Basement Information_Basement Sq. Ft,Bathroom Information_# of 1/2 Baths,Heating & Cooling_Air Conditioning Type,Utility Information_Sewer Type,Utility Information_Water Service Type,Basement Information_Basement Finish,Exterior Information_Building Improvement Type,Parking & Garage Information_# of Parking Spaces,Lot Information_Zoning Code,Exterior Information_Roof Covering Type,Exterior Information_Roof Shape Type,Pool Information_Pool Type
"140 Oak St, Loveland, OH 45140",2.0,2.0,1556.0,0.234,12.4529327234617,1,5,Central,1,Wood Stove,Average,,,Frame,Residential,LOVELAND CITY,"1,556","1,908",2,,LOVELAND CITY LAND,,,,1,"10,193",37,,LOVELAND CITY,0.234,SINGLE FAMILY,2022,,Full,Gas,9,Old,658,,117,86,,Available,352,,Central,Public,Public,,,,,,,
"136 Churchill Ct, Loveland, OH 45140",4.0,3.0,3002.0,0.268,12.886641043883259,2,,,1,,Average,,Brick/Frame,Frame/Masonry,,CLAIBORNE SUB,"3,002","5,165",2,2,CHURCHILL CT 96.51 X 111.16 FT IRR LOT 2 CLAIBORNE SUB PHASE 1,Attached Brick Garage,484,Attached Brick,1,"11,674",2,,LOVELAND CITY,0.268,SINGLE FAMILY,2022,,Full,Gas,11,Conventional,"1,679",,111.16,96.51,RESID-SINGLE FAMILY,Connected,"1,679",1,Central,,,,,2,,,,
"4035 Everett Ave, Loveland, OH 45140",3.0,3.0,1961.0,0.7186,12.86099861326992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1343 Miracle Ln, Loveland, OH 45140",3.0,2.0,2348.0,6.329981634527089,12.611537753638338,2,8,Central,1,Wood Stove,Average,,,Aluminum/Vinyl,Residential,,"2,348","2,348",2,,,Frame Garage,616,Frame,1,"275,735",,,GOSHEN TWP,6.33,SINGLE FAMILY,2022,,Crawl-Space,Wood,7,Colonial,700,,,,,Available,,,Central,,,,,,,,,
"6215 Spires Dr, Loveland, OH 45140",3.0,3.0,1868.0,0.193,12.793859310432293,2,10,Central,1,Prefab,Average,,,Aluminum/Vinyl,Residential,ASHTON WOODS SEC 2,"1,868","2,400",2,,ASHTON WOODS SECTION 2 BLOCK B LOT 89,Frame Garage,430,Frame,1,"8,407",89,,MIAMI TWP,0.193,SINGLE FAMILY,2022,,Full,,7,Colonial,656,B,,,,,532,1,Central,Public,Public,,,,,,,
"130 Cedar Woods Dr, Loveland, OH 45140",4.0,5.0,5265.0,0.5486,13.514405465180353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4035 Everett Dr, Loveland, OH 45140",3.0,3.0,1961.0,0.7186,12.86099861326992,2,10,Heat Pump,1,1 Opening,Good,Concrete Block,Brick,Masonry,Single Family,MYRTLE VILLAGE,"1,961","2,421",1,1,MYRTLE VILLAGE LOT# 82,Attached Garage,"1,228",Attached,1,"31,304",82,LOVELAND CITY,DEERFIELD TWP,0.7186,SINGLE FAMILY DWELLING,2022,KINGS LSD,Full,,,,,,301,104,,,,1,,,,Finished,,,,,,
"397 Huntington Dr, Loveland, OH 45140",4.0,3.5,3199.0,0.5099862258953168,13.38472764187182,3,13,Central,1,Prefab,Average,,,Frame/Masonry,Residential,LOVELAND CITY,"4,699","4,915",2,,LOVELAND CITY LAND HUNTINGTON A LOT 4,Masonry/Brick Garage,441,Masonry/Brick,1,"22,216",4,,LOVELAND CITY,0.51,SINGLE FAMILY,2022,,Full,,9,Colonial,"1,411",A,,,,,"1,716",1,Central,Public,Public,Finished,,,,,,
"5839 Irish Dude Dr, Loveland, OH 45140",4.0,3.0,3512.0,0.363,13.091904169919621,2,10,Central,1,Prefab,Average,,,Frame/Masonry,Residential,MITCHELL FARM SEC 05,"3,512","4,160",2,,MITCHELL FARM SECTION 5 LOT 142,Masonry/Brick Garage,462,Masonry/Brick,1,"15,812",142,,MIAMI TWP,0.363,SINGLE FAMILY,2022,,Full,,9,Colonial,"1,264",,,,,,648,1,Central,Public,Public,,,,,,,
"11172 Loveland Trace Ct, Loveland, OH 45140",5.0,4.0,2648.0,0.4599862258953168,13.337474757021274,2,,,1,,Average,,,Brick,,LOVELAND TRACE SUB,"2,648","4,761",2,,LOVELAND TRACE CT LOT 10 0.4595 ACLOVELAND TRACE SUB,Attached Brick Garage,633,Attached Brick,1,"20,016",10,,SYMMES TOWNSHIP,0.4595,SINGLE FAMILY,2022,,Full,,8,Conventional,"1,480",,,,RESID-SINGLE FAMILY,,"1,480",1,Central,,,,,,A,,,
"11387 Enyart Rd, Loveland, OH 45140",4.0,3.0,2384.0,0.465,13.00019574343012,2,,,1,,Average,,Brick/Frame,Frame/Masonry,,SYMMES TRACE SUB,"2,384","4,054",2,2,ENYART RD 100 X 211.02 FT IRR LOT 57 SYMMES TRACE SUB BL B,Attached Brick Garage,462,Attached Brick,1,"20,255",57,,SYMMES TOWNSHIP,0.465,SINGLE FAMILY,2022,,Full,Gas,9,Conventional,"1,208",B,211.02,100,RESID-SINGLE FAMILY,Connected,"1,208",1,Central,,,,,2,A,,,
"5969 Marsh Cir, Loveland, OH 45140",4.0,3.0,1960.0,0.129,12.409013489526863,2,10,Central,,,Average,,,Aluminum/Vinyl,Residential,WOODLAND STREAMS SEC 1,"1,960","1,960",2,,WOODLAND STREAMS SECTION 1 BLOCK B LOT 97,Frame Garage,400,Frame,1,"5,619",97,,GOSHEN TWP,0.129,SINGLE FAMILY,2022,,,,7,Conventional,840,B,,,,,,1,Central,Public,Public,,,,,,,
"9887 Stonebridge Way, Loveland, OH 45140",4.0,3.0,4346.0,0.3329889807162534,13.060487973686241,2,,,1,,Average,,,Frame/Masonry,,LEXINGTON GREEN SUB,"2,680","4,766",2,,STONEBRIDGE DR 0.3337 AC LOT 14 LEXINGTON GREEN SUB,Attached Brick Garage,420,Attached Brick,1,"14,505",14,,SYMMES TOWNSHIP,0.333,SINGLE FAMILY,2022,,Partial,Gas,10,Conventional,"1,666",,,,RESID-SINGLE FAMILY,Connected,"1,666",1,Central,,,,,,B,,,
"10126 Fox Chase Dr, Loveland, OH 45140",4.0,3.0,2140.0,0.372,12.886641043883259,2,,,1,,Fair,,Brick/Frame,Frame/Masonry,,FOX CHASE SUB,"2,140","3,580",2,2,FOX CHASE DR 0.37219 AC PT LOT 55-56 FOX CHASE SUB BL C PARS 74-75 PG 25 PARS 97-98 CONS,Attached Brick Garage,440,Attached Brick,1,"16,204",55,,LOVELAND CITY,0.372,SINGLE FAMILY,2022,,Full,Gas,8,Conventional,"1,100",C,,,RESID-SINGLE FAMILY,Connected,"1,000",1,Central,,,,,2,,,,
"9062 Route 48, Loveland, OH 45140",3.0,2.0,1624.0,0.70410927456382,12.619836556453032,1,7,Forced Air,1,1 Opening,Average,Concrete,Brick,Masonry,Single Family,LAWSON ESTATES,"1,624","1,624",1,1,LAWSON ESTATES LOT# 1,,,,1,"30,671",1,,HAMILTON TWP,0.7041,SINGLE FAMILY DWELLING,2022,LITTLE MIAMI LSD,,,,,,,,,,,,1,,,,,,,,,,
"9062 S State Route 48, Loveland, OH 45140",3.0,2.5,2004.0,0.5856978879706153,12.619836556453032,1,7,Forced Air,1,1 Opening,Average,Concrete,Brick,Masonry,Single Family,LAWSON ESTATES,"1,624","1,624",1,1,LAWSON ESTATES LOT# 1,,,,1,"30,671",1,,HAMILTON TWP,0.7041,SINGLE FAMILY DWELLING,2022,LITTLE MIAMI LSD,,,,,,,,,,,,1,,,,,,,,,,
"9339 Gardenside Ln, Loveland, OH 45140",4.0,3.0,2782.0,0.20889999999999997,13.357435499583813,2,12,Forced Air,1,1 Opening,Good,Concrete,Frame/Masonry,,Single Family,LEGACY ELLIOTT FRM1B,"2,782","2,892",,,,,745,,1,"9,100",21,,DEERFIELD TWP,0.2089,SINGLE FAMILY DWELLING,2022,,Full,,,,,B,,,,,,1,,,,,Building,,,,,
"9887 Stonebridge Dr, Loveland, OH 45140",4.0,3.0,2680.0,0.3329999999999999,13.060487973686241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6019 Marsh Cir, Loveland, OH 45140",3.0,3.0,1728.0,0.11000000000000001,12.394624752074764,2,10,Central,,,Average,,,Aluminum/Vinyl,Residential,WOODLAND STREAMS SEC 2,"1,728","1,728",2,,WOODLAND STREAMS SECTION 2 LOT 109,Frame Garage,320,Frame,1,"4,800",109,,GOSHEN TWP,0.1102,SINGLE FAMILY,2022,,,,7,Colonial,664,,,,,,,1,Central,Public,Public,,,,,,,
"Murdock Goshen Rd, Loveland, OH 45140",3.0,2.5,2004.0,29.40218089990817,12.206072645530174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6282 Emery Xing, Loveland, OH 45140",3.0,2.0,2403.0,0.251,13.217673557208654,2,8,Central,1,Prefab,Average,,,,,MADINGLEY FALLS SEC 1B,"2,403","3,113",1,,MADINGLEY FALLS SECTION 1B LOT 27,Masonry/Brick Garage,542,Masonry/Brick,1,"10,951",27,,MIAMI TWP,0.2514,SINGLE FAMILY,2022,,Full,,6,,"2,235",,,,,,168,,Central,Public,Public,,,,,,,
"1429 Shoreline Way, Loveland, OH 45140",3.0,3.0,1804.0,0.249,13.021437458814368,2,8,Central,1,Wood Stove,Average,,,Brick,Residential,OASIS GOLF CLUB COMMUNITY SEC 1,"1,804","1,804",1,,OASIS GOLF CLUB COMM 1 LOT 8,Masonry/Brick Garage,440,Masonry/Brick,1,"10,846",8,,MIAMI TWP,0.249,SINGLE FAMILY,2022,,Full,,4,Ranch,"1,788",,,,,,,,Central,Public,Public,,,,,,,
"9278 Cactus Ln, Loveland, OH 45140",4.0,2.0,2229.0,0.6039944903581267,12.950388112664518,2,,,1,,Average,,,Frame/Masonry,,WATSONS MEAOOW SUB,"2,229","3,900",1,,CACTUS LN LOT 7 .6018 AC WATSONS MEAOOW SUB,Attached Brick Garage,506,Attached Brick,1,"26,310",7,,SYMMES TOWNSHIP,0.604,SINGLE FAMILY,2022,,Partial,Gas,7,Conventional,"2,229",,,,RESID-SINGLE FAMILY,Connected,"1,165",,Central,,,,,,A,,,
"792 E Hatt Swank Rd, Loveland, OH 45140",3.0,2.0,1805.0,5.374,13.117350835580785,2,8,Forced Air,1,1 Opening,Very Good,Concrete,Frame,Wood Siding,Single Family,HAMILTON TOWNSHIP,"1,805","2,205",1.5,1  1/2,MS-3334 5.3740 AC.,Attached Garage,400,Attached,1,"234,091",,,HAMILTON TWP,5.374,SGL FAM DWG 0-9.99 AC,2022,LITTLE MIAMI LSD,Full,,,,,,,,,,,,,,,Finished,,,,,,
"3223 Scenic Ct, Loveland, OH 45140",3.0,2.5,2004.0,0.3629935720844812,13.458835614025542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6575 E Knollwood Cir, Loveland, OH 45140",3.0,2.0,1176.0,0.5869834710743802,12.2783933071098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6135 Kilrenny Dr, Loveland, OH 45140",4.0,3.0,3299.0,1.01,13.217673557208654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9178 Yarmouth Dr, Loveland, OH 45140",3.0,2.5,2004.0,0.005716253443526171,12.254862809699606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1298 State Route 28, Loveland, OH 45140",3.0,2.5,2004.0,1.0099862258953167,13.217673557208654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2728 Shady Locust Trl, Loveland, OH 45140",4.0,3.0,2004.0,0.21069788797061526,13.399995114002609,3,13,Forced Air,1,1 Opening,Average,Concrete,Frame/Masonry,,Single Family,LEGACY ELLIOTT FRM3A,"3,310","3,836",,,,Attached Garage,526,Attached,1,"9,178",165,,DEERFIELD TWP,0.2107,SINGLE FAMILY DWELLING,2022,,Full,,,,,A,,,,,"1,266",,,,,Finished,Building,,,,,
"6187 Whileaway Dr, Loveland, OH 45140",3.0,3.0,2004.0,0.55,13.322161328499519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"106 Ravinewood Ter, Loveland, OH 45140",5.0,3.0,2892.0,0.4599999999999999,13.081541382884074,2,,,1,,Average,Concrete Block,Brick,Frame/Masonry,,WOODFORD SUB,"2,892","4,820",2,2,RAVINWOOD TER 154.73 X 176.38 FT IRR LOT 20 WOODFORD SUB BL A,Attached Brick Garage,462,Attached Brick,1,"20,038",20,,LOVELAND CITY,0.46,SINGLE FAMILY,2022,,Full,Gas,9,Conventional,"1,466",A,176.38,154.73,RESID-SINGLE FAMILY,Connected,"1,466",1,Central,,,,,2,,Fiberglass,Fiberglass,
"6006 Marsh Cir, Loveland, OH 45140",3.0,3.0,1840.0,5271.0,12.428816116823043,2,10,Central,,,Average,,,Aluminum/Vinyl,Residential,WOODLAND STREAMS SEC 1,"1,840","1,840",2,,WOODLAND STREAMS SECTION 1 BLOCK A LOT 52,Frame Garage,400,Frame,1,"5,271",52,,GOSHEN TWP,0.121,SINGLE FAMILY,2022,,,,6,Conventional,770,A,,,,,,1,Central,Public,Public,,,,,,,
"1737 Wittenburg Dr, Loveland, OH 45140",3.0,1.0,1418.0,0.23999081726354454,12.128111104060462,1,,,,,Average,Concrete,Brick,Brick,,C HUBER HERNERT,"1,418","1,418",1,1,WITTENBERG DR 75 X 140 LOT 370 HERBERT C HUBER PL 45,,,,1,"10,498",370,,LOVELAND CITY,0.241,SINGLE FAMILY,2022,,Finished,Gas,6,Conventional,"1,418",,140,75,RESID-SINGLE FAMILY,Connected,,1,Central,,,,,,,,,
"3093 Stony Hollow Ct, Loveland, OH 45140",3.0,3.5,2503.0,0.4589990817263544,12.751299696013497,3,13,Forced Air,,,Very Good,Concrete,Frame,Aluminum/Vinyl,Single Family,STONY HOLLOW,"2,503","2,903",2,2,STONY HOLLOW LOT# 41,Attached Garage,400,Attached,1,"5,101",41,LOVELAND CITY,DEERFIELD TWP,0.1171,SINGLE FAMILY DWELLING,2022,KINGS LSD,Full,,,,,,,,,,675,1,,,,Finished,Building,,,,,
"106 Ridgewood Dr, Loveland, OH 45140",4.0,2.5,3820.0,0.525,13.737440902542351,2,10,Central,1,Prefab,Average,,,Frame/Masonry,Residential,SANCTUARY,"4,780","5,903",2,,LOVELAND CITY SANCTUARY (REPLAT) LOT 17,Masonry/Brick Garage,"1,007",Masonry/Brick,1,"22,869",17,,LOVELAND CITY,0.525,SINGLE FAMILY,2022,,Full,,8,Colonial,"1,618",,,,,,"1,266",1,Central,,,Finished,,,,,,
"9867 Fields Ertel Rd, Loveland, OH 45140",4.0,4.0,2273.0,1.2149908172635446,13.142166004700508,3,,,2,2 Openings,Good,Concrete Block,Brick/Frame,Frame/Masonry,,OAK KNOLL FARM SUB,"2,273","4,378",2,2,FIELDS ERTEL 150.51 X 344.98 IRR LOT 1 OAK KNOLL FARM SUB BLK A,Attached Frame Garage,480,Attached Frame,1,"52,925",1,,SYMMES TOWNSHIP,1.215,SINGLE FAMILY,2022,,Partial,Gas,7,Conventional,"1,625",A,344.98,150.51,RESID-SINGLE FAMILY,Connected,"1,625",1,Central,,,,,2,A,,,
"1166 E Glen Echo Ln, Loveland, OH 45140",3.0,2.0,1634.0,0.21999540863177228,12.793859310432293,2,8,Central,,,Average,,,Aluminum/Vinyl,Residential,ASHTON WOODS SEC 1,"1,636","1,636",1,,ASHTON WOODS SECTION 1 BLOCK B LOT 15,Frame Garage,647,Frame,1,"9,540",15,,MIAMI TWP,0.219,SINGLE FAMILY,2022,,Full,,6,Ranch,"1,622",B,,,,,,,Central,Public,Public,,,,,,,
"1336 Cross Creek Dr, Loveland, OH 45140",3.0,2.0,1747.0,0.23800000000000002,12.531772785169476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"812 Mohican Dr, Loveland, OH 45140",4.0,1.0,1350.0,0.16999540863177226,12.345834587905333,1,,,,,Good,Concrete,Brick/Frame,Frame/Masonry,,STONEYBROOK SUB,"1,350","1,350",1,1,MOHICAN DR 60 X 120 LOT 146 STONEYBROOK SUB BLK E,,,,1,"7,187",146,,LOVELAND CITY,0.165,SINGLE FAMILY,2022,,Finished,Gas,6,Conventional,"1,350",E,120,60,RESID-SINGLE FAMILY,Connected,,,Central,,,,,,,,,
"9989 Fields Ertel Rd, Loveland, OH 45140",4.0,3.0,1998.0,1.0019972451790633,12.948009990259552,2,,,1,,Good,Concrete Block,Brick/Frame,Frame/Masonry,,WEDGEWOOD CORNERS SUB,"1,998","3,466",2,2,FIELDS ERTEL RD 128 X 340.63 LOT 5 WEDGEWOOD CORNERS SUB BL A PT 1,Attached Brick Garage,506,Attached Brick,1,"43,604",5,,SYMMES TOWNSHIP,1.001,SINGLE FAMILY,2022,,Full,Gas,8,Conventional,962,A,340.63,128,RESID-SINGLE FAMILY,Connected,962,1,Central,,,,,2,A,,,
"6621 Paxton Guinea Rd, Loveland, OH 45140",4.0,1.0,1008.0,1.209986225895317,12.138863895836725,1,5,Central,1,Wood Stove,Average,,,Aluminum/Vinyl,Residential,,"1,008","1,008",1,,PENDING CO DELQ UTIL*,Frame Garage,288,Frame,1,"53,013",,,MIAMI TWP,1.217,SINGLE FAMILY,2022,,,,7,Cape Cod,"1,008",,,,,Available,,,Central,Public,Public,,,,,,,
"9160 Yarmouth Dr, Loveland, OH 45140",3.0,2.5,2004.0,0.005785123966942148,12.384218830913648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10494 Fallis Rd, Loveland, OH 45140",3.0,3.0,3200.0,2.0,13.180632285528304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10494 Fallis Rd, Loveland, OH 45140",3.0,2.5,2004.0,1.075,13.180632285528304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1998 Weber Rd, Loveland, OH 45140",5.0,4.0,2098.0,0.19499540863177225,12.779873068457553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12166 Lebanon Rd, Loveland, OH 45140",3.0,2.0,1885.0,0.9829889807162534,12.66032791780777,2,,,1,,Fair,Concrete Block,Brick,Brick,,WEDGEWOO D CORNERS SUB,"2,199","3,718",1,1,LEBANON RD 160.62 X 271.77 IRR LOT 7 WEDGEWOOD CORNERS SUB BL A PT 1,Attached Brick Garage,702,Attached Brick,1,"42,819",7,,SYMMES TOWNSHIP,0.983,SINGLE FAMILY,2022,,Partial,Gas,6,Conventional,"1,885",A,271.77,160.62,RESID-SINGLE FAMILY,Connected,"1,131",,Central,,,,,2,A,,,
"522 Main St, Loveland, OH 45140",2.0,2.0,1816.0,0.175,12.672946381766982,2,,,2,2 Openings,Good,Concrete Block,Brick/Frame,Frame Siding,,J M BROWN SUB,"2,266","2,306",2,2,522 MAIN AVE 50 X 150 LOT 15 J M BROWN SUB,Detached Frame Garage,384,Detached Frame,1,"7,623",15,,LOVELAND CITY,0.175,SINGLE FAMILY,2022,,Partial,Gas,6,Conventional,970,,150,50,RESID-SINGLE FAMILY,Connected,490,1,Central,,,,,,,,,
"9530 Carriage Run Cir, Loveland, OH 45140",2.0,2.0,1464.0,0.2712,12.793859310432293,2,10,Forced Air,1,1 Opening,Very Good,Concrete,Frame,Aluminum/Vinyl,Single Family,VILLHERITAGE GRNC,"1,464","1,864",1,1,VILL.HERITAGE GRN.C #106,Attached Garage,400,Attached,1,"11,813",106,LOVELAND CITY,DEERFIELD TWP,0.2712,SINGLE FAMILY DWELLING,2022,KINGS LSD,Full,,,,,C,,,,,,1,,,,Finished,,,,,,
"6024 Marsh Cir, Loveland, OH 45140",3.0,2.5,1847.0,0.1099862258953168,12.400816722322686,2,10,Central,,,Average,,,Aluminum/Vinyl,Residential,WOODLAND STREAMS SEC 2,"1,847","1,847",2,,WOODLAND STREAMS SECTION 2 LOT 173,Frame Garage,320,Frame,1,"4,800",173,,GOSHEN TWP,0.1102,SINGLE FAMILY,2022,,,,6,Colonial,744,,,,,,,1,Central,Public,Public,,,,,,,
"350 Cedar Dr, Loveland, OH 45140",3.0,1.0,1400.0,10367.0,11.982303898822046,1,5,Central,,,Average,,,Frame,Residential,LOVELAND CITY,"1,400","1,400",1,,LOVELAND CITY LAND,Frame Garage,252,Frame,1,"10,367",,,LOVELAND CITY,0.238,SINGLE FAMILY,2022,,,Gas,6,Ranch,"1,148",,140,74,,Available,,,Central,Public,Public,,,,,,,
"11970 Weeping Willow Ct, Loveland, OH 45140",3.0,3.0,1645.0,0.264,12.894081648233996,2,,,1,,Average,,Brick/Frame,Frame/Masonry,,TURNBURY SUB,"1,645","3,197",2,2,WEEPING WILLOW CT 34.93 X 133.53 IRR LOT 51 TURNBURY SUB BL B,Attached Brick Garage,399,Attached Brick,1,"11,500",51,,SYMMES TOWNSHIP,0.264,SINGLE FAMILY,2022,,Full,Gas,8,Conventional,"1,161",B,133.53,34.93,RESID-SINGLE FAMILY,Connected,"1,153",1,Central,,,,,2,B,,,
"9422 Mapletop Ln, Loveland, OH 45140",3.0,3.0,2420.0,0.3195,12.9384405392434,2,10,Forced Air,1,1 Opening,Excellent,Concrete,Frame/Masonry,,Single Family,FOREST HERITAG GRA2,"2,420","2,860",1,1,FOREST HERITAG GR.A2 #40,Attached Garage,440,Attached,1,"13,916",40,LOVELAND CITY,DEERFIELD TWP,0.32,SINGLE FAMILY DWELLING,2022,KINGS LSD,Full,,,,,A,,,,,600,1,,,,Finished,Building,,,,,
"6262 Branch Hill Guinea Pike, Loveland, OH 45140",3.0,2.0,2138.0,0.556,12.230765258120545,1,7,Central,1,Wood Stove,Average,,,Frame/Masonry,Residential,MIAMI MEADOW,"2,138","2,138",1,,MIAMI MEADOW LOT 3,Masonry/Brick Garage,500,Masonry/Brick,1,"24,219",3,,MIAMI TWP,0.556,SINGLE FAMILY,2022,,Full,,6,Split Level,744,,,,,Available,744,1,Central,Public,Public,Finished,,,,,,
"6728 Surlyn Ct, Loveland, OH 45140",4.0,5.0,4044.0,0.514,13.345506928718539,4,16,Central,1,Wood Stove,Average,,,Brick,Residential,EAGLES POINTE AT THE OASIS SEC 1,"4,044","4,166",2,,EAGLES POINTE AT THE OASIS SECTION 1 LOT 6,Masonry/Brick Garage,660,Masonry/Brick,1,"22,390",6,,MIAMI TWP,0.514,SINGLE FAMILY,2022,,Full,,12,Colonial,"1,403",,,,,,"1,022",1,Central,Public,Public,Finished,,,,,,
"9327 Nolin Orchard Ln, Loveland, OH 45140",3.0,3.0,2359.0,0.2948,13.42984807715229,2,12,Forced Air,1,1 Opening,Good,Concrete,Brick,Masonry,Single Family,LEGACY ELLIOTT FRM2B,"2,359","2,857",,,,Attached Garage,498,Attached,1,"12,841",114,,DEERFIELD TWP,0.2948,SINGLE FAMILY DWELLING,2022,,Full,,,,,B,,,,,,1,,,,,Building,,,,,
"9 Iroquois Dr, Loveland, OH 45140",2.0,2.0,1481.0,0.294,12.230765258120545,2,,,1,,Good,Concrete,Frame,Frame Siding,,LOVELAND HEIGHTS SUB,"1,481","1,481",1,1,IROQUOIS DR 78.04 X 197.43 IRR LOT 143 LOVELAND HGTS SUB SEC 3 BLK C,,,,1,"12,807",143,,LOVELAND CITY,0.294,SINGLE FAMILY,2022,,Finished,Gas,7,Conventional,"1,481",C,197.43,78.04,RESID-SINGLE FAMILY,Connected,,,Central,,,,,,,,,
"1215 Obannon Creek Ln, Loveland, OH 45140",4.0,4.0,2834.0,0.477,13.195427948261335,2,10,Central,1,Prefab,Average,,,Frame/Masonry,Residential,FAIRWAYS AT OBANNON CREEK SEC 1 BL A,"2,834","3,272",2,,FAIRWAYS AT OBANNON CREEK LOT 104,Masonry/Brick Garage,704,Masonry/Brick,1,"20,778",104,,GOSHEN TWP,0.477,SINGLE FAMILY,2022,,Full,Gas,9,Colonial,"1,095",A,,,,Available,438,1,Central,Public,Public,,,,,,,
"1084 Tumbleweed Dr, Loveland, OH 45140",5.0,5.0,2874.0,0.5699954086317722,12.936033799212835,3,15,Central,1,Wood Stove,Average,,,Frame/Masonry,Residential,TANGLE WOOD SEC 02,"2,921","3,448",2,,TANGLEWOOD SECT II LOT 29,Masonry/Brick Garage,627,Masonry/Brick,1,"25,091",29,,MIAMI TWP,0.576,SINGLE FAMILY,2022,,Full,Gas,8,Colonial,"1,090",,,,,Available,527,2,Central,Public,Public,,,,,,,
"9123 Primrose Dr, Loveland, OH 45140",3.0,2.5,2144.0,0.8772956841138659,12.793859310432293,2,10,Heat Pump,1,1 Opening,Good,Concrete,Frame,Wood Siding,Single Family,JCDUFF ESTATES,"2,144","3,080",1,1,J.C.DUFF ESTATES LOT# 3,Attached Garage,936,Attached,1,"38,215",3,LOVELAND CITY,DEERFIELD TWP,0.8773,SINGLE FAMILY DWELLING,2022,KINGS LSD,Full,,,,,,,,,,,1,,,,Finished,,,,,,
"9279 Swigert Rd, Loveland, OH 45140",3.0,2.0,2528.0,4.919995408631772,12.983101310070822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"408 Navaho Dr, Loveland, OH 45140",3.0,1.0,1008.0,0.15498163452708907,12.301382825334498,1,,,,,Good,Concrete,,Frame Siding,,LOVELAND HEIGHTS SUB,"1,008","1,008",1,1,NAVAHO DR 60 X 106.10 IRRLOT 90 LOVELAND HGTS SUB SEC 2 BLK C,Detached Frame Garage,572,Detached Frame,1,"6,752",90,,LOVELAND CITY,0.155,SINGLE FAMILY,2022,,,Gas,5,Conventional,"1,008",C,106.1,60,RESID-SINGLE FAMILY,Connected,,,Central,,,,,1,,,,
"6585 Nora Ct, Loveland, OH 45140",4.0,3.5,3642.0,0.3579889807162534,13.399995114002609,3,13,Central,1,Prefab,Average,,,,Residential,JACKSON WOODS PH 1,"3,642","3,717",2,,JACKSON WOODS PHASE 1 LOT 25,Masonry/Brick Garage,571,Masonry/Brick,1,"15,581",25,,MIAMI TWP,0.3577,SINGLE FAMILY,2022,,Full,,8,,"1,484",,,,,,75,1,Central,Public,Public,,,,,,,
"9442 E Kemper Rd, Loveland, OH 45140",4.0,3.0,2627.0,1.0361,13.081541382884074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
